σY,exp_action,expected_cost
"[409.35305727427533, 431.71199668887965, 437.8622500033449, 402.3947489800484, 447.5801344854577, 368.5784674566852, 491.59303526271304]",no_action,0.0
"[491.59303526271304, 407.87644796938264, 390.03280330271957, 367.44095922495245, 379.72493228855114, 375.19895725770573, 325.90990239108197]",no_action,300.0
"[325.90990239108197, 287.6602069375835, 322.63212981966757, 325.6567769163318, 373.1928225349704, 306.7321194680116, 313.8569171289579]",increase_resistance,3000.0
"[313.8569171289579, 351.7220718015403, 357.6788141553021, 358.5464688994662, 359.57011860220587, 348.7516597256796, 345.73872066688637]",no_action,0.0
"[345.73872066688637, 329.27975272652026, 325.7245816031153, 320.82834031231545, 328.2572633557497, 323.8348536126929, 328.95871589219206]",no_action,900.0
"[328.95871589219206, 328.8476779779553, 324.7197567280698, 381.11630916279097, 360.2935344729497, 416.8702818927007, 408.9117673368223]",no_action,0.0
"[408.9117673368223, 418.3415154385621, 404.2157619183359, 433.2964530563925, 406.83398091029187, 352.2015118520601, 352.0195943720809]",no_action,0.0
"[352.0195943720809, 364.32668323834224, 358.3028429356174, 328.3585544556747, 300.35901432025486, 290.51567434057836, 340.53786677061936]",no_action,1400.0
"[340.53786677061936, 318.27582318183994, 298.3861513235637, 344.6306733636603, 338.2717628414651, 367.1580842364618, 406.05491243150755]",no_action,200.0
"[406.05491243150755, 367.4531510542975, 386.8054663211935, 350.0695189251033, 354.07022643559066, 371.9652424617657, 320.9037022210667]",no_action,0.0
"[320.9037022210667, 304.0834771407843, 370.75730171719647, 355.89547000304447, 337.5626929218166, 375.12529862530215, 352.84163940663575]",no_action,0.0
"[352.84163940663575, 355.02381220361417, 339.9643804626237, 346.26579613388014, 381.1265505820461, 360.6068065306488, 356.19054065562113]",no_action,0.0
"[356.19054065562113, 281.6657901153553, 383.73102388626324, 391.7091522786985, 375.50623558259997, 388.91699358023794, 319.26169191285896]",no_action,300.0
"[319.26169191285896, 299.1282992380693, 274.19357071368563, 278.596906078549, 352.80708687797346, 380.2858986409371, 348.2612637885649]",increase_resistance,3700.0
"[348.2612637885649, 434.22309008557437, 429.4345679729034, 426.92903677794186, 370.7502937396622, 384.94699585850833, 320.47216147221394]",no_action,100.0
"[320.47216147221394, 291.6479425404441, 310.5897642410074, 331.42465113525276, 355.5218343496744, 341.84399372976713, 359.4572254584856]",no_action,800.0
"[359.4572254584856, 353.4412690311752, 354.9139253041969, 337.3079770075046, 349.4766274214675, 356.16117815830466, 370.2799251303706]",no_action,0.0
"[370.2799251303706, 368.4329502804019, 364.3393579733987, 348.1003681739528, 381.3928637483875, 374.9149413917987, 377.18616089605416]",no_action,0.0
"[377.18616089605416, 381.80363321364433, 357.90192083511255, 381.90634136776373, 343.47133629737476, 342.4796278738343, 429.7544741004262]",no_action,200.0
"[429.7544741004262, 353.32667489477706, 339.0181585289639, 348.43972514153194, 315.86641814664836, 314.2522867476084, 317.21921402940984]",no_action,1700.0
"[317.21921402940984, 324.66197196080526, 265.9876639806239, 337.0862903111997, 396.62975483970786, 368.619126025152, 389.7048874461322]",increase_resistance,3100.0
"[389.7048874461322, 359.3207546025889, 398.63766023976166, 393.787945238009, 395.4395146676297, 394.5336480273008, 394.9824588279761]",no_action,0.0
"[394.9824588279761, 431.6637242966303, 427.38300738150286, 404.6133973613302, 407.6680927990304, 366.78010996634845, 377.8924907782673]",no_action,0.0
"[377.8924907782673, 361.1087113080582, 364.86890786318065, 364.86890786318065, 331.5331850796681, 312.8795049710395, 317.7013377170554]",no_action,100.0
"[317.7013377170554, 339.38967168849, 370.82985962657904, 383.81129103785406, 385.3183716639565, 373.81703602947863, 282.24823270591236]",no_action,600.0
"[282.24823270591236, 306.2408276017545, 316.7483791957151, 391.09759646204697, 382.9262764066112, 374.92528502687, 400.133766941794]",no_action,1300.0
"[400.133766941794, 390.77228668188434, 377.3767756652137, 354.5750752945543, 399.01584472226875, 308.4382985929027, 282.88073249268916]",no_action,400.0
"[282.88073249268916, 302.724827252899, 316.7928140392944, 323.668749330815, 350.0867838860251, 334.1042020882269, 333.86229372760295]",increase_resistance,3000.0
"[333.86229372760295, 362.9176449991806, 367.47504657335685, 383.2256135081091, 376.8819909073471, 375.60378156042736, 377.4086383905783]",no_action,0.0
"[377.4086383905783, 328.19031159734095, 354.2880746427393, 337.23097617516754, 342.0368996666943, 341.97421195304435, 332.72414897306777]",no_action,300.0
"[332.72414897306777, 317.8812936970395, 393.7333446874475, 378.91256262369023, 331.43380629928623, 342.1794840876767, 361.0888282415976]",no_action,100.0
"[361.0888282415976, 361.0888282415976, 361.0888282415976, 361.06077682432687, 376.18254081289797, 376.18254081289797, 375.37513843515313]",no_action,0.0
"[375.37513843515313, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784]",no_action,0.0
"[372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784]",no_action,0.0
"[372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784]",no_action,0.0
"[372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 372.7832502962784, 374.22190731506004, 374.22190731506004]",no_action,0.0
